trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count,unique_employment_factors,economic/employment,employment_People,employment_intensity
55570,2019,US,IN,POSTT,FINAN,54.67,277513.501,1.0,1.0,277513.501,277513.501,5076.15696
10436,2019,CN,IN,RUBBE,CEMEN,23.72,272336.978,2.0,2.0,272336.978,272336.978,11481.32285
58186,2019,WA,IN,CONST,RECRE,9.58,270009.941,3.0,3.0,270009.941,270009.941,28184.753758
10521,2019,CN,IN,RUBBE,TRANS,23.24,266817.329,2.0,2.0,266817.329,266817.329,11480.952194
10432,2019,CN,IN,RUBBE,BITUM,22.83,262147.062,2.0,2.0,262147.062,262147.062,11482.569514
58140,2019,WA,IN,CONST,FURNI,9.24,260513.976,3.0,3.0,260513.976,260513.976,28194.153247
53503,2019,US,IN,BUSIN,EDUCA,44.65,258334.511,1.0,1.0,258334.511,258334.511,5785.767324
62078,2019,WA,IN,VEGET,PLAST,6.03,256942.107,2.0,2.0,256942.107,256942.107,42610.631343
62219,2019,WA,IN,WHOLE,WASTE,9.78,252841.896,2.0,2.0,252841.896,252841.896,25852.954601
59441,2019,WA,IN,LANDT,SUPPO,32.18,252243.054,1.0,1.0,252243.054,252243.054,7838.503853
59384,2019,WA,IN,LANDT,LANDT,32.02,251005.03,1.0,1.0,251005.03,251005.03,7839.007808
62214,2019,WA,IN,WHOLE,TOBAC,9.56,247001.076,2.0,2.0,247001.076,247001.076,25836.932636
53529,2019,US,IN,BUSIN,LANDT,42.55,246174.038,1.0,1.0,246174.038,246174.038,5785.523807
58179,2019,WA,IN,CONST,PRINT,8.5,239530.181,3.0,3.0,239530.181,239530.181,28180.021294
8427,2019,CN,IN,BASIC,BASIC,43.71,235192.077,1.0,1.0,235192.077,235192.077,5380.738435
63672,2019,WF,IN,CROPS,FOOD5,17.82,232329.381,2.0,2.0,232329.381,232329.381,13037.563468
62065,2019,WA,IN,VEGET,CHEM1,5.45,231968.61,2.0,2.0,231968.61,231968.61,42563.047706
53573,2019,US,IN,BUSIN,RETA1,40.09,231910.429,1.0,1.0,231910.429,231910.429,5784.745049
58172,2019,WA,IN,CONST,PAPER,8.17,230489.008,3.0,3.0,230489.008,230489.008,28211.628886
62222,2019,WA,IN,WHOLE,WOODW,8.92,230437.518,2.0,2.0,230437.518,230437.518,25833.802466
63660,2019,WF,IN,CROPS,ANIMA,17.63,229854.065,2.0,2.0,229854.065,229854.065,13037.666761
61246,2019,WA,IN,RETA1,COMPU,16.47,227895.487,2.0,2.0,227895.487,227895.487,13837.005889
62199,2019,WA,IN,WHOLE,PROCE,8.81,227759.642,2.0,2.0,227759.642,227759.642,25852.399773
62164,2019,WA,IN,WHOLE,FOOD3,8.79,227233.948,2.0,2.0,227233.948,227233.948,25851.416155
64829,2019,WF,IN,VEGET,PLAST,3.7,227146.638,6.0,6.0,227146.638,227146.638,61390.983243
8445,2019,CN,IN,BASIC,FOUND,41.96,225763.276,1.0,1.0,225763.276,225763.276,5380.440324
8442,2019,CN,IN,BASIC,ELECT,41.34,222432.251,1.0,1.0,222432.251,222432.251,5380.557596
58143,2019,WA,IN,CONST,HEALT,7.85,221441.442,3.0,3.0,221441.442,221441.442,28209.100892
53502,2019,US,IN,BUSIN,DISTR,37.87,219109.278,1.0,1.0,219109.278,219109.278,5785.827251
53542,2019,US,IN,BUSIN,MOTO1,37.82,218814.244,1.0,1.0,218814.244,218814.244,5785.67541
10416,2019,CN,IN,RADIO,TRANS,41.85,218465.028,1.0,1.0,218465.028,218465.028,5220.191828
8474,2019,CN,IN,BASIC,TRANS,39.79,214114.534,1.0,1.0,214114.534,214114.534,5381.1142
10623,2019,CN,IN,TEXTI,RUBBE,18.91,213563.769,2.0,2.0,213563.769,213563.769,11293.694818
58132,2019,WA,IN,CONST,FABRI,7.57,213404.225,3.0,3.0,213404.225,213404.225,28190.782695
58177,2019,WA,IN,CONST,POSTT,7.52,212078.482,3.0,3.0,212078.482,212078.482,28201.925798
53556,2019,US,IN,BUSIN,PFERT,36.64,211995.086,1.0,1.0,211995.086,211995.086,5785.892085
62188,2019,WA,IN,WHOLE,NONF1,8.15,210665.086,2.0,2.0,210665.086,210665.086,25848.47681
10453,2019,CN,IN,RUBBE,FABRI,18.32,210356.111,2.0,2.0,210356.111,210356.111,11482.320469
59391,2019,WA,IN,LANDT,MACHI,26.78,209928.865,1.0,1.0,209928.865,209928.865,7839.016617
8806,2019,CN,IN,CROPS,TOBAC,14.7,208959.639,2.0,2.0,208959.639,208959.639,14214.941429
9535,2019,CN,IN,MACHI,WOODW,19.27,207078.225,2.0,2.0,207078.225,207078.225,10746.145563
64820,2019,WF,IN,VEGET,CHEM1,3.34,205069.113,6.0,6.0,205069.113,205069.113,61397.938024
62215,2019,WA,IN,WHOLE,TRAN2,7.89,203934.246,2.0,2.0,203934.246,203934.246,25847.179468
58203,2019,WA,IN,CONST,TRANS,7.11,200401.538,3.0,3.0,200401.538,200401.538,28185.870323
58155,2019,WA,IN,CONST,MACHI,7.09,200006.793,3.0,3.0,200006.793,200006.793,28209.702821
62190,2019,WA,IN,WHOLE,OILSE,7.61,196688.185,2.0,2.0,196688.185,196688.185,25846.016426
10527,2019,CN,IN,RUBBE,WHOLE,17.11,196475.394,2.0,2.0,196475.394,196475.394,11483.073875
10383,2019,CN,IN,RADIO,MEMBE,37.14,193879.537,1.0,1.0,193879.537,193879.537,5220.235245
58121,2019,WA,IN,CONST,CRUDE,6.86,193358.348,3.0,3.0,193358.348,193358.348,28186.348105
10634,2019,CN,IN,TEXTI,WHOLE,17.07,192735.756,2.0,2.0,192735.756,192735.756,11290.905448
62196,2019,WA,IN,WHOLE,POULT,7.35,190047.728,2.0,2.0,190047.728,190047.728,25856.833741
58167,2019,WA,IN,CONST,NONME,6.7,189041.682,3.0,3.0,189041.682,189041.682,28215.176418
62221,2019,WA,IN,WHOLE,WHEAT,7.31,188842.263,2.0,2.0,188842.263,188842.263,25833.414911
62166,2019,WA,IN,WHOLE,FORES,7.28,188112.615,2.0,2.0,188112.615,188112.615,25839.644918
58118,2019,WA,IN,CONST,CONST,6.64,187212.652,3.0,3.0,187212.652,187212.652,28194.676506
58160,2019,WA,IN,CONST,MOTO1,6.64,187173.393,3.0,3.0,187173.393,187173.393,28188.764006
58193,2019,WA,IN,CONST,RUBBE,6.47,182390.531,3.0,3.0,182390.531,182390.531,28190.190263
58277,2019,WA,IN,CROPS,CHEM1,13.95,181707.921,2.0,2.0,181707.921,181707.921,13025.657419
58681,2019,WA,IN,FISHF,FISH5,9.24,180751.836,2.0,2.0,180751.836,180751.836,19561.887013
58124,2019,WA,IN,CONST,DISTR,6.41,180685.284,3.0,3.0,180685.284,180685.284,28188.031825
59418,2019,WA,IN,LANDT,POSTT,22.81,178827.739,1.0,1.0,178827.739,178827.739,7839.883341
59345,2019,WA,IN,LANDT,COKE1,22.75,178340.388,1.0,1.0,178340.388,178340.388,7839.137934
59362,2019,WA,IN,LANDT,ELEC5,22.71,178043.505,1.0,1.0,178043.505,178043.505,7839.872523
59344,2019,WA,IN,LANDT,CHEM1,22.49,176312.039,1.0,1.0,176312.039,176312.039,7839.574878
59374,2019,WA,IN,LANDT,GASDI,22.03,172677.115,1.0,1.0,172677.115,172677.115,7838.271221
59357,2019,WA,IN,LANDT,EDUCA,21.68,169952.094,1.0,1.0,169952.094,169952.094,7839.118727
53524,2019,US,IN,BUSIN,HOTEL,29.01,167825.894,1.0,1.0,167825.894,167825.894,5785.104929
10372,2019,CN,IN,RADIO,FURNI,32.06,167355.814,1.0,1.0,167355.814,167355.814,5220.081535
53571,2019,US,IN,BUSIN,RENTI,28.9,167181.343,1.0,1.0,167181.343,167181.343,5784.821557
53481,2019,US,IN,BUSIN,BITUM,28.89,167158.96,1.0,1.0,167158.96,167158.96,5786.049152
53519,2019,US,IN,BUSIN,GASDI,28.5,164877.994,1.0,1.0,164877.994,164877.994,5785.192772
62139,2019,WA,IN,WHOLE,AIRTR,6.36,164415.497,2.0,2.0,164415.497,164415.497,25851.493239
58113,2019,WA,IN,CONST,CHEM1,5.82,163984.454,3.0,3.0,163984.454,163984.454,28176.023024
59364,2019,WA,IN,LANDT,ELECT,20.9,163824.737,1.0,1.0,163824.737,163824.737,7838.504163
59336,2019,WA,IN,LANDT,BLAST,20.71,162306.869,1.0,1.0,162306.869,162306.869,7837.125495
62163,2019,WA,IN,WHOLE,FISHF,6.25,161670.915,2.0,2.0,161670.915,161670.915,25867.3464
10604,2019,CN,IN,TEXTI,OFFIC,13.94,157395.815,2.0,2.0,157395.815,157395.815,11290.947991
58131,2019,WA,IN,CONST,ELECT,5.57,157054.684,3.0,3.0,157054.684,157054.684,28196.532136
53582,2019,US,IN,BUSIN,TEXTI,26.81,155124.941,1.0,1.0,155124.941,155124.941,5786.08508
10589,2019,CN,IN,TEXTI,LEATH,13.57,153289.859,2.0,2.0,153289.859,153289.859,11296.231319
55618,2019,US,IN,POSTT,PUBLI,30.03,152436.001,1.0,1.0,152436.001,152436.001,5076.123909
53551,2019,US,IN,BUSIN,OFFIC,26.2,151560.985,1.0,1.0,151560.985,151560.985,5784.77042
9431,2019,CN,IN,MACHI,BITUM,14.1,151536.248,2.0,2.0,151536.248,151536.248,10747.251631
59408,2019,WA,IN,LANDT,OFFIC,19.27,151056.201,1.0,1.0,151056.201,151056.201,7838.931033
58145,2019,WA,IN,CONST,HOTEL,5.32,149934.868,3.0,3.0,149934.868,149934.868,28183.245865
61508,2019,WA,IN,SALEM,LANDT,21.96,149602.004,1.0,1.0,149602.004,149602.004,6812.477413
10412,2019,CN,IN,RADIO,SUPPO,28.13,146850.22,1.0,1.0,146850.22,146850.22,5220.413082
58097,2019,WA,IN,CONST,93197,5.19,146389.141,3.0,3.0,146389.141,146389.141,28206.000193
10339,2019,CN,IN,RADIO,93197,27.92,145783.995,1.0,1.0,145783.995,145783.995,5221.489792
55554,2019,US,IN,POSTT,COMPU,28.7,145693.236,1.0,1.0,145693.236,145693.236,5076.419373
59435,2019,WA,IN,LANDT,RUBBE,18.5,145046.488,1.0,1.0,145046.488,145046.488,7840.350703
9464,2019,CN,IN,MACHI,FURNI,13.47,144817.494,2.0,2.0,144817.494,144817.494,10751.11314
9506,2019,CN,IN,MACHI,PUBLI,13.35,143498.045,2.0,2.0,143498.045,143498.045,10748.917228
61259,2019,WA,IN,RETA1,FINAN,10.35,143245.5,2.0,2.0,143245.5,143245.5,13840.144928
58141,2019,WA,IN,CONST,GASDI,5.03,141843.561,3.0,3.0,141843.561,141843.561,28199.515109
58117,2019,WA,IN,CONST,COMPU,4.95,139631.957,3.0,3.0,139631.957,139631.957,28208.476162
9447,2019,CN,IN,MACHI,CRUDE,12.88,138420.232,2.0,2.0,138420.232,138420.232,10746.912422
58198,2019,WA,IN,CONST,SUPPO,4.9,138245.138,3.0,3.0,138245.138,138245.138,28213.293469
10683,2019,CN,IN,VEGET,VEGET,3.43,137719.978,2.0,2.0,137719.978,137719.978,40151.597085
53536,2019,US,IN,BUSIN,MACHI,23.75,137373.557,1.0,1.0,137373.557,137373.557,5784.149768
53541,2019,US,IN,BUSIN,MEMBE,23.48,135858.314,1.0,1.0,135858.314,135858.314,5786.129216
9528,2019,CN,IN,MACHI,TRANS,12.5,134413.96,2.0,2.0,134413.96,134413.96,10753.1168
10365,2019,CN,IN,RADIO,ELECT,25.64,133877.934,1.0,1.0,133877.934,133877.934,5221.448284
58174,2019,WA,IN,CONST,PFERT,4.74,133758.354,3.0,3.0,133758.354,133758.354,28219.062025
59450,2019,WA,IN,LANDT,WEARI,17.03,133479.327,1.0,1.0,133479.327,133479.327,7837.893541
10460,2019,CN,IN,RUBBE,GASDI,11.54,132473.573,2.0,2.0,132473.573,132473.573,11479.512392
61227,2019,WA,IN,RETA1,93197,9.36,129576.564,2.0,2.0,129576.564,129576.564,13843.65
58125,2019,WA,IN,CONST,EDUCA,4.57,128891.799,3.0,3.0,128891.799,128891.799,28203.894748
53499,2019,US,IN,BUSIN,CRUDE,21.97,127089.573,1.0,1.0,127089.573,127089.573,5784.686982
9020,2019,CN,IN,FISHF,RETAI,2.67,126825.748,2.0,2.0,126825.748,126825.748,47500.28015
61286,2019,WA,IN,RETA1,NONME,9.05,125197.271,2.0,2.0,125197.271,125197.271,13833.952597
58159,2019,WA,IN,CONST,MEMBE,4.43,124819.655,3.0,3.0,124819.655,124819.655,28175.994357
53518,2019,US,IN,BUSIN,FURNI,21.41,123863.836,1.0,1.0,123863.836,123863.836,5785.326296
62179,2019,WA,IN,WHOLE,MEAT4,4.78,123464.477,2.0,2.0,123464.477,123464.477,25829.388494
58191,2019,WA,IN,CONST,RETA1,4.35,122679.705,3.0,3.0,122679.705,122679.705,28202.231034
53798,2019,US,IN,CONST,COLLE,14.95,122144.077,1.0,1.0,122144.077,122144.077,8170.172375
59349,2019,WA,IN,LANDT,COMPU,15.53,121729.513,1.0,1.0,121729.513,121729.513,7838.345976
10504,2019,CN,IN,RUBBE,RADIO,10.59,121639.844,2.0,2.0,121639.844,121639.844,11486.293107
59361,2019,WA,IN,LANDT,ELEC4,15.5,121463.952,1.0,1.0,121463.952,121463.952,7836.384
59433,2019,WA,IN,LANDT,RETA1,15.47,121281.702,1.0,1.0,121281.702,121281.702,7839.799741
10435,2019,CN,IN,RUBBE,BUSIN,10.55,121122.195,2.0,2.0,121122.195,121122.195,11480.776777
61239,2019,WA,IN,RETA1,CEMEN,8.73,120780.451,2.0,2.0,120780.451,120780.451,13835.103207
53593,2019,US,IN,BUSIN,WOODW,20.87,120750.072,1.0,1.0,120750.072,120750.072,5785.820412
61265,2019,WA,IN,RETA1,FOUND,8.68,120175.859,2.0,2.0,120175.859,120175.859,13845.145046
58181,2019,WA,IN,CONST,PUBLI,4.19,118015.413,3.0,3.0,118015.413,118015.413,28165.96969
10454,2019,CN,IN,RUBBE,FISH5,10.24,117593.667,2.0,2.0,117593.667,117593.667,11483.756543
61268,2019,WA,IN,RETA1,GLASS,8.49,117500.718,2.0,2.0,117500.718,117500.718,13839.896113
9457,2019,CN,IN,MACHI,FABRI,10.91,117252.186,2.0,2.0,117252.186,117252.186,10747.221448
59406,2019,WA,IN,LANDT,NONME,14.9,116780.187,1.0,1.0,116780.187,116780.187,7837.596443
53490,2019,US,IN,BUSIN,CHEM1,20.16,116658.225,1.0,1.0,116658.225,116658.225,5786.618304
53568,2019,US,IN,BUSIN,RECRE,20.14,116504.564,1.0,1.0,116504.564,116504.564,5784.735055
58199,2019,WA,IN,CONST,TEXTI,4.11,115983.864,3.0,3.0,115983.864,115983.864,28219.918248
58274,2019,WA,IN,CROPS,CATTL,8.83,115010.576,2.0,2.0,115010.576,115010.576,13024.980294
10528,2019,CN,IN,RUBBE,WOODW,9.95,114287.399,2.0,2.0,114287.399,114287.399,11486.170754
10525,2019,CN,IN,RUBBE,WEARI,9.95,114264.564,2.0,2.0,114264.564,114264.564,11483.875779
58189,2019,WA,IN,CONST,RENTI,4.02,113346.313,3.0,3.0,113346.313,113346.313,28195.600249
10428,2019,CN,IN,RUBBE,BEVER,9.85,113142.192,2.0,2.0,113142.192,113142.192,11486.516954
58309,2019,WA,IN,CROPS,PFERT,8.55,111404.746,2.0,2.0,111404.746,111404.746,13029.794854
10621,2019,CN,IN,TEXTI,RETA1,9.86,111378.033,2.0,2.0,111378.033,111378.033,11295.946552
62186,2019,WA,IN,WHOLE,NATUR,4.28,110649.103,2.0,2.0,110649.103,110649.103,25852.594159
59366,2019,WA,IN,LANDT,FINAN,14.07,110305.452,1.0,1.0,110305.452,110305.452,7839.762047
58133,2019,WA,IN,CONST,FINAN,3.87,109066.103,3.0,3.0,109066.103,109066.103,28182.455556
10556,2019,CN,IN,TEXTI,BUSIN,9.56,107992.928,2.0,2.0,107992.928,107992.928,11296.331381
62202,2019,WA,IN,WHOLE,RAILW,4.17,107739.783,2.0,2.0,107739.783,107739.783,25836.878417
61251,2019,WA,IN,RETA1,DISTR,7.77,107546.602,2.0,2.0,107546.602,107546.602,13841.261519
59400,2019,WA,IN,LANDT,MOTOR,13.69,107332.945,1.0,1.0,107332.945,107332.945,7840.244339
53562,2019,US,IN,BUSIN,PROCE,18.4,106428.047,1.0,1.0,106428.047,106428.047,5784.132989
10570,2019,CN,IN,TEXTI,ELECT,9.39,106093.554,2.0,2.0,106093.554,106093.554,11298.568051
62150,2019,WA,IN,WHOLE,CEREA,4.09,105752.983,2.0,2.0,105752.983,105752.983,25856.475061
10458,2019,CN,IN,RUBBE,FOUND,9.13,104813.198,2.0,2.0,104813.198,104813.198,11480.087404
10502,2019,CN,IN,RUBBE,PUBLI,9.08,104276.004,2.0,2.0,104276.004,104276.004,11484.14141
10511,2019,CN,IN,RUBBE,RETA1,9.08,104228.211,2.0,2.0,104228.211,104228.211,11478.877863
