trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,CO2_total,CH4_total,N2O_total,impact_intensity
90,2020,US,US,93197,NONME,0.22,0.257,4.0,4.0,0.257,0.232,0.018,0.005,1.168182
21,2020,US,US,93197,CHEMI,0.61,0.253,4.0,4.0,0.253,0.174,0.028,0.026,0.414754
87,2020,US,US,93197,NATUR,0.12,0.221,4.0,4.0,0.221,0.21,0.007,0.001,1.841667
10,2020,US,US,93197,BIOG1,0.35,0.209,4.0,4.0,0.209,0.178,0.01,0.006,0.597143
51,2020,US,US,93197,FOOD2,0.13,0.206,4.0,4.0,0.206,0.187,0.008,0.005,1.584615
93,2020,US,US,93197,OILHA,0.15,0.194,4.0,4.0,0.194,0.186,0.002,0.001,1.293333
95,2020,US,US,93197,PAPE1,0.4,0.177,4.0,4.0,0.177,0.118,0.04,0.018,0.4425
73,2020,US,US,93197,LIQUE,0.08,0.137,4.0,4.0,0.137,0.13,0.005,0.002,1.7125
72,2020,US,US,93197,LEATH,0.08,0.133,4.0,4.0,0.133,0.128,0.001,0.004,1.6625
60,2020,US,US,93197,GASWO,0.07,0.132,4.0,4.0,0.132,0.126,0.002,0.002,1.885714
99,2020,US,US,93197,PATEN,0.07,0.095,4.0,4.0,0.095,0.09,0.002,0.001,1.357143
11,2020,US,US,93197,BIOGA,0.05,0.094,4.0,4.0,0.094,0.092,0.001,0.0,1.88
23,2020,US,US,93197,COKEO,0.05,0.081,4.0,4.0,0.081,0.077,0.001,0.001,1.62
32,2020,US,US,93197,DISTR,0.16,0.076,4.0,4.0,0.076,0.057,0.013,0.004,0.475
12,2020,US,US,93197,BITU1,0.06,0.064,4.0,4.0,0.064,0.058,0.004,0.0,1.066667
71,2020,US,US,93197,LEAD1,0.05,0.053,4.0,4.0,0.053,0.048,0.002,0.002,1.06
44,2020,US,US,93197,ELEC9,0.09,0.053,4.0,4.0,0.053,0.042,0.005,0.002,0.588889
69,2020,US,US,93197,KEROS,0.04,0.049,4.0,4.0,0.049,0.046,0.002,0.001,1.225
4,2020,US,US,93197,ALUMI,0.06,0.046,4.0,4.0,0.046,0.04,0.004,0.001,0.766667
63,2020,US,US,93197,HEAVY,0.03,0.037,4.0,4.0,0.037,0.035,0.001,0.0,1.233333
14,2020,US,US,93197,BLAST,0.06,0.028,4.0,4.0,0.028,0.019,0.005,0.001,0.466667
38,2020,US,US,93197,ELEC3,0.07,0.024,4.0,4.0,0.024,0.013,0.005,0.003,0.342857
18,2020,US,US,93197,CERAM,0.01,0.017,4.0,4.0,0.017,0.015,0.001,0.0,1.7
74,2020,US,US,93197,LUBRI,0.03,0.015,4.0,4.0,0.015,0.013,0.001,0.0,0.5
9,2020,US,US,93197,BIODI,0.01,0.012,4.0,4.0,0.012,0.011,0.0,0.0,1.2
100,2020,US,US,93197,PETRO,0.01,0.012,4.0,4.0,0.012,0.011,0.001,0.0,1.2
86,2020,US,US,93197,NATU1,0.02,0.011,4.0,4.0,0.011,0.009,0.001,0.001,0.55
85,2020,US,US,93197,NAPHT,0.01,0.01,4.0,4.0,0.01,0.009,0.0,0.0,1.0
91,2020,US,US,93197,NONSP,0.01,0.01,4.0,4.0,0.01,0.009,0.001,0.0,1.0
13,2020,US,US,93197,BITUM,0.0,0.007,4.0,4.0,0.007,0.007,0.0,0.0,0.0
46,2020,US,US,93197,ETHAN,0.0,0.007,4.0,4.0,0.007,0.007,0.0,0.0,0.0
22,2020,US,US,93197,COALT,0.0,0.007,4.0,4.0,0.007,0.006,0.0,0.0,0.0
42,2020,US,US,93197,ELEC7,0.0,0.003,4.0,4.0,0.003,0.003,0.0,0.0,0.0
19,2020,US,US,93197,CEREA,0.0,0.003,4.0,4.0,0.003,0.003,0.0,0.0,0.0
89,2020,US,US,93197,NONFE,0.0,0.001,4.0,4.0,0.001,0.001,0.0,0.0,0.0
94,2020,US,US,93197,OILSE,0.0,0.001,4.0,4.0,0.001,0.001,0.0,0.0,0.0
6867,2020,US,US,FISH5,ELE11,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13143,2020,US,US,NONSP,WOODW,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12835,2020,US,US,NONFE,RESEA,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13221,2020,US,US,OFFIC,ETHAN,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13584,2020,US,US,PADDY,93197,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8536,2020,US,US,GLASS,LIQUI,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12392,2020,US,US,NATUR,ANTHR,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9890,2020,US,US,KERO1,ELE12,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9295,2020,US,US,INERT,PROCE,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10565,2020,US,US,LIQUE,CROPS,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15379,2020,US,US,POSTT,URANI,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1914,2020,US,US,BLAST,FABRI,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20163,2020,US,US,WASTE,OILHA,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7677,2020,US,US,FOOD5,TRAN2,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17751,2020,US,US,SANDC,FURNI,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
647,2020,US,US,ANTHR,MEATC,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12384,2020,US,US,NAPHT,WEARI,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1443,2020,US,US,BIOG1,GLASS,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14169,2020,US,US,PAPE4,VEGE1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9047,2020,US,US,HYDRO,BASIC,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11524,2020,US,US,MEATC,VEGE1,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1465,2020,US,US,BIOG1,NONME,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14970,2020,US,US,PLAS1,VEGE1,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20204,2020,US,US,WASTE,STEAM,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19179,2020,US,US,TEXT2,PETRO,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19682,2020,US,US,TRAN2,TEXTI,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11182,2020,US,US,MEAT1,PIGS9,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16559,2020,US,US,REALE,PRECI,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12505,2020,US,US,NATUR,PLAS2,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19128,2020,US,US,TEXT2,FORES,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3201,2020,US,US,COMPU,COALT,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10499,2020,US,US,LIGNI,COMPU,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13055,2020,US,US,NONSP,FURNI,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5686,2020,US,US,ELEC5,SANDC,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2835,2020,US,US,CHEMI,FINAN,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20585,2020,US,US,WHITE,RADIO,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5607,2020,US,US,ELEC5,FOODW,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12510,2020,US,US,NATUR,PRECI,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20958,2020,US,US,WOOD1,WHEAT,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,2020,US,US,AIRTR,GASWO,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11973,2020,US,US,MEMBE,SUGA1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11500,2020,US,US,MEATC,RAILW,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15545,2020,US,US,PREC1,PAPER,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5860,2020,US,US,ELEC6,WASTE,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15651,2020,US,US,PRECI,RUBBE,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12624,2020,US,US,NFERT,MACHI,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6612,2020,US,US,FABRI,PARAF,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2463,2020,US,US,CERAM,CHEMI,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12568,2020,US,US,NFERT,BRICK,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12439,2020,US,US,NATUR,ETHAN,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11404,2020,US,US,MEATC,ANIMA,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9415,2020,US,US,INLAN,MOTO1,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11260,2020,US,US,MEAT4,FABRI,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6754,2020,US,US,FINAN,LEADZ,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12074,2020,US,US,MOTO1,LEATH,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1131,2020,US,US,BEVER,BASIC,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12723,2020,US,US,NONF1,FINAN,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20281,2020,US,US,WEARI,HEAVY,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13339,2020,US,US,OILHA,BASIC,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14919,2020,US,US,PLAS1,PADDY,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5744,2020,US,US,ELEC6,CROPS,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6054,2020,US,US,ELEC8,ELEC1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11655,2020,US,US,MEATP,VEGE1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15769,2020,US,US,PRINT,PADDY,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13148,2020,US,US,NUCLE,CHEM1,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3673,2020,US,US,COPPE,FOOD4,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4586,2020,US,US,EDUCA,WHITE,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17857,2020,US,US,SEACO,CROPS,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9640,2020,US,US,INSUR,WHITE,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15509,2020,US,US,PREC1,ELEC4,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4756,2020,US,US,ELE12,CATTL,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6253,2020,US,US,ELEC9,PLAST,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1570,2020,US,US,BIOGA,FOODW,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12623,2020,US,US,NFERT,LUBRI,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17288,2020,US,US,RETA1,STONE,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19664,2020,US,US,TRAN2,ELECT,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8588,2020,US,US,GLASS,SEACO,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2020,US,US,BRICK,PIGS9,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8635,2020,US,US,HEALT,ELEC9,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5130,2020,US,US,ELEC2,LIQUI,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11396,2020,US,US,MEATA,SUPPO,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13019,2020,US,US,NONSP,COKIN,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9174,2020,US,US,INERT,ANTHR,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9684,2020,US,US,INTER,ELE11,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4792,2020,US,US,ELE12,GASDI,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,2020,US,US,ELEC2,ALUMI,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5847,2020,US,US,ELEC6,SUBBI,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17246,2020,US,US,RETA1,NONF1,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1733,2020,US,US,BITU1,NONME,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12802,2020,US,US,NONFE,FOOD5,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7179,2020,US,US,FOOD2,SEACO,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20413,2020,US,US,WHEAT,KEROS,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16094,2020,US,US,RADIO,ELEC4,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1406,2020,US,US,BIOG1,BASIC,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16250,2020,US,US,RAILW,ELEC9,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12843,2020,US,US,NONFE,WHOLE,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14807,2020,US,US,PLANT,SUPPO,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6301,2020,US,US,ELECT,BIOG1,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2854,2020,US,US,CHEMI,MEATA,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2944,2020,US,US,COKE1,COPPE,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13723,2020,US,US,PAPE1,ELEC7,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14735,2020,US,US,PIGS9,PRINT,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16277,2020,US,US,RAILW,MACHI,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11422,2020,US,US,MEATC,CROPS,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13046,2020,US,US,NONSP,FISH5,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13145,2020,US,US,NUCLE,BUSIN,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13876,2020,US,US,PAPE3,COPPE,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12618,2020,US,US,NFERT,KEROS,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7524,2020,US,US,FOOD4,SUGA1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15185,2020,US,US,PLAST,LUBRI,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9069,2020,US,US,HYDRO,CROPS,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13209,2020,US,US,OFFIC,ELE11,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7921,2020,US,US,FORES,LIQUE,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6469,2020,US,US,ETHAN,FURNI,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1146,2020,US,US,BEVER,CROPS,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10397,2020,US,US,LEATH,ELEC5,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17732,2020,US,US,SANDC,ELEC5,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8324,2020,US,US,GASDI,ELEC9,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13608,2020,US,US,PADDY,ELEC4,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15677,2020,US,US,PRINT,BITU1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8642,2020,US,US,HEALT,FOOD4,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12776,2020,US,US,NONF1,WOODW,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14758,2020,US,US,PIGS9,WEARI,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4532,2020,US,US,EDUCA,PADDY,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4825,2020,US,US,ELE12,OILSE,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18217,2020,US,US,STEAM,CEREA,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7025,2020,US,US,FISHF,SALEM,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19894,2020,US,US,VEGE1,PRINT,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10701,2020,US,US,LIQUI,93197,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18802,2020,US,US,SUPPO,IRONO,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3115,2020,US,US,COLLE,PARAF,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16258,2020,US,US,RAILW,FOOD4,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3374,2020,US,US,CONST,COKE1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10150,2020,US,US,LANDT,PAPE2,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18971,2020,US,US,TEXT1,INLAN,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6479,2020,US,US,ETHAN,MOTOR,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16549,2020,US,US,REALE,PETRO,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12495,2020,US,US,NATUR,PAPE3,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4107,2020,US,US,DIST1,ALUMI,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4671,2020,US,US,ELE11,MEDIC,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11603,2020,US,US,MEATP,MEDIC,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18092,2020,US,US,SEWAG,GASWO,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13225,2020,US,US,OFFIC,FISHF,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13310,2020,US,US,OFFIC,SUBBI,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20022,2020,US,US,VEGET,PROCE,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21065,2020,US,US,WOOD2,NONSP,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10735,2020,US,US,LIQUI,FURNI,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14424,2020,US,US,PARAF,PETRO,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
